V1 BUILD — underwriting onboarding flow,,,,,,,,,
,,,,,,,,,
The flow,,,,,,,,,
Screen,Rows,What happens,,,,,,,
1 Property & loan,5,"Address, purchase or refi, price/value, down payment. Under 60s of typing.",,,,,,,
2 Identity,7,"Name, DOB, SSN, contact, authorizations. Required before any pull.",,,,,,,
3 Credit,10,Soft pull. Instant. First visible win — they see something happen.,,,,,,,
4 Declarations,7,"Section 5 and where you live. The answers only the borrower can give.",,,,,,,
5 Bank,10,12-month asset report. Assets + income + employment + cash flow + rent history. The one that matters.,,,,,,,
6 Payroll,4,Consumer-permissioned. Precision on employment and variable income.,,,,,,,
7 IRS transcript,3,"4506-C e-sign, filed W-2 income. Reconciliation source.",,,,,,,
8 Upload fallback,7,"Only what didn't connect. Should feel like an exception, not a step.",,,,,,,
9 Decision,31,"Compute and answer. Show the reasoning, not just a verdict.",,,,,,,
10 Persistent consent,0,Opt-in to keep connections live. This ask enables everything downstream.,,,,,,,
,,,,,,,,,
,,,,,,,,,
req_id,Screen,Source,Requirement,Fields to capture,Evidence accepted,Applies when,Day 1 Certainty,Failure severity,Timing constraint
APP-002,1 Property & loan,Borrower input,Six pieces of information received,"Name, income, SSN, property address, value estimate, loan amount all present",Completed 1003 / URLA,Universal,No,Regulatory violation,Starts 3-business-day LE clock
APP-003,1 Property & loan,Borrower input,"Loan purpose, occupancy and property type declared","purpose, occupancy_type, property_type as declared",URLA Section 4,Universal,No,Repurchase / unsaleable,At application
APP-004,1 Property & loan,Borrower input,Subject property address identified,Deliverable address matching public record,URLA; purchase contract; existing note,Universal,No,Rework / delay,At application
APP-021,1 Property & loan,Borrower input,First-time homebuyer status determined,fthb_flag per Fannie definition; no ownership interest in prior 3 years,URLA declarations; credit report; title search,Universal,No,Rework / delay,At application
AST-012,1 Property & loan,Borrower input,Cash-out proceeds purpose documented,cash_to_borrower vs limited_cash_out threshold,Borrower statement; disbursement instructions,Cash-out refinance,No,Rework / delay,Before UW-017
,,,,,,,,,
APP-001,2 Identity,Borrower input,Borrower identity established,Borrower is who they claim to be; not a sanctioned party,Government photo ID; SSN; DOB; physical address,Universal,No,Repurchase / unsaleable,At application
APP-005,2 Identity,E-sign,Borrower authorization to verify executed,"Signed consent to pull credit and verify employment, income, assets",Signed borrower authorization form,Universal,No,Regulatory violation,Before any verification pull
APP-011,2 Identity,Borrower input,Demographic information collected,"Ethnicity, race, sex requested; visual observation noted if declined",URLA Section 7 / Demographic Information Addendum,Universal,No,Regulatory violation,At application
APP-012,2 Identity,E-sign,eConsent obtained,Borrower consented to electronic delivery and demonstrated access,E-SIGN consent record,Electronic delivery used,No,Rework / delay,Before first electronic disclosure
APP-015,2 Identity,Borrower input,Non-borrowing spouse identified,marital_status; non_borrowing_spouse_name; signature_required flag,Application; marital status declaration,Community property state,No,Repurchase / unsaleable,At application
APP-017,2 Identity,Borrower input,Language preference captured and LEP handling applied,Preferred language recorded; required translations provided,URLA language preference; translation log,Borrower LEP,No,Rework / delay,At application
CRD-010,2 Identity,Third-party order,OFAC / SDN screening cleared,"No borrower, seller or party is on a sanctions list",Screening result,Universal,No,Regulatory violation,At application and before funding
,,,,,,,,,
APP-018,3 Credit,Connect: credit (soft pull),Existing loan and current servicer identified,"existing_servicer, existing_loan_number, existing_balance, existing_rate",Mortgage statement; credit report; title,Refinance only,No,Rework / delay,At application
AST-011,3 Credit,Connect: credit (soft pull),Secured borrowed funds documented,Loan is secured by an owned asset and payment included in DTI,Loan agreement; collateral evidence,Borrowed funds used,No,Rework / delay,Before UW-004
CRD-001,3 Credit,Connect: credit (soft pull),Tri-merge credit report obtained,"three bureau scores, tradelines, inquiries, public records, report_date",Tri-merge report,Universal,No,Rework / delay,After APP-005
CRD-002,3 Credit,Connect: credit (soft pull),Representative FICO determined,"representative_fico = middle score per borrower, lowest across borrowers",Credit report scores,Universal,No,Rework / delay,After CRD-001
CRD-003,3 Credit,Connect: credit (soft pull),Liabilities reconciled to application,every tradeline either in monthly_liabilities or excluded with reason_code,Credit report; application; exclusion documentation,Universal,No,Repurchase / unsaleable,Before UW-004
CRD-004,3 Credit,Connect: credit (soft pull),Public records reviewed,"bankruptcy, foreclosure, judgment, tax_lien: type, date, status",Credit report public records; court search,Universal,No,Rework / delay,After CRD-001
CRD-005,3 Credit,Connect: credit (soft pull),Housing payment history verified,"mortgage_or_rent_rating for prior 12-24 months, max_delinquency",Credit report tradeline; VOM; VOR; cancelled checks,Universal,No,Rework / delay,Before UW-002
CRD-007,3 Credit,Connect: credit (soft pull),Foreclosure / short sale / DIL seasoning satisfied,months_since_event >= product minimum; event_type,Title search; credit report; settlement statement,Prior significant derogatory,No,Rework / delay,Before UW-017
CRD-014,3 Credit,Connect: credit (soft pull),Disputed tradeline resolved,Dispute removed or underwriter documented treatment,Updated report; dispute resolution letter,Dispute flag on report,No,Rework / delay,Before UW-002
CRD-016,3 Credit,Connect: credit (soft pull),Revolving credit utilization assessed,revolving_balance / revolving_limit; trended payment behaviour over 24 months,Tri-merge report with trended data,Universal,No,Rework / delay,After CRD-001
,,,,,,,,,
APP-022,4 Declarations,Borrower input,Section 5a declarations answered by the borrower,"intent_to_occupy, homeowner_past_three_years, undisclosed_borrowed_funds and amount, undisclosed_mortgage_application, undisclosed_credit_application, property_proposed_clean_energy_lien",URLA Section 5a,Universal,No,Repurchase / unsaleable,At application
APP-023,4 Declarations,Borrower input,Section 5b financial declarations answered by the borrower,"undisclosed_comaker_of_note, outstanding_judgments, presently_delinquent, prior_property_deed_in_lieu_conveyed, prior_property_short_sale_completed, prior_property_foreclosure_completed, bankruptcy",URLA Section 5b,Universal,No,Repurchase / unsaleable,At application
APP-024,4 Declarations,Borrower input,Bankruptcy chapters identified,bankruptcy_chapters: one or more of Chapter 7; 11; 12; 13,URLA Section 5b; discharge or dismissal papers,Borrower declared a bankruptcy,No,Repurchase / unsaleable,At application
APP-025,4 Declarations,Borrower input,Prior property usage declared,"prior_property_usage; prior_property_title where the borrower states it",URLA Section 5a,Borrower owned a home in the past 3 years,No,Rework / delay,At application
APP-026,4 Declarations,Borrower input,Current residence stated,"residency_basis, duration_months, monthly_rent when the basis is rent",URLA Section 1a,Universal,No,Repurchase / unsaleable,At application
