Date,3-Year ARM Rates,5-Year ARM Rates,7-Year ARM Rates,10-Year ARM Rates,10-Year Fixed Rates,15-Year Fixed Rates,20-Year Fixed Rates,30-Year Fixed Rates,3-Year ARM Points & Fees,5-Year ARM Points & Fees,7-Year ARM Points & Fees,10-Year ARM Points & Fees,10-Year Fixed Points & Fees,15-Year Fixed Points & Fees,20-Year Fixed Points & Fees,30-Year Fixed Points & Fees,3-Year ARM Fully Indexed Rates,5-Year ARM Fully Indexed Rates,7-Year ARM Fully Indexed Rates,10-Year ARM Fully Indexed Rates
2025-09-18,6.008826598,5.724304968,5.445419177,5.857645264,5.486601173,5.429571837,5.630916073,6.154934765,0.165168257,0.324662438,0.463044283,0.813708128,0.929630568,0.858675681,0.56462674,0.693886405,7.285452614,7.317733208,7.251363044,7.2407031
2025-09-25,5.908912409,5.658513068,5.483509221,5.802443794,5.344342748,5.518581039,5.654264067,6.234455789,0.139667637,0.276830242,0.567519211,0.769525441,1.058036698,1.054444515,0.646777766,0.791720833,7.272350832,7.302400289,7.254007855,7.233857596
2025-10-02,5.754166667,5.624635968,5.476799244,5.832517343,5.339955917,5.583833984,5.751686345,6.23295809,0.124334192,0.278552914,0.539932373,0.365153249,1.151722101,0.821338515,0.684678266,0.778687764,7.232166667,7.288836509,7.176198662,7.21069244
2025-10-09,5.668478261,5.585827726,5.448088561,5.820682245,5.290989802,5.586359393,5.745117517,6.216804371,0.103120568,0.270671396,0.571685034,0.463317905,1.197178651,0.814649352,0.631001125,0.779499621,7.248304348,7.253920339,7.146312128,7.167576509
2025-10-16,5.65625,5.578811952,5.330970071,5.855873068,5.317967725,5.479348171,5.677900074,6.167650233,0.086433504,0.310763229,0.492153649,0.34837723,1.245268011,1.00838133,0.67051571,0.764557362,7.21775,7.213658767,7.094537938,7.127070704
2025-10-23,5.708474323,5.541922661,5.289303789,5.887315524,5.331101521,5.514538377,5.576524928,6.089206736,0.200990036,0.302095142,0.731097254,0.228357568,1.212847506,0.96846128,0.664636678,0.758678915,7.182354697,7.170616913,7.078365983,7.06301224
2025-10-30,5.699965167,5.494999102,5.356094847,5.871942926,5.305903038,5.401651425,5.564568162,6.096259528,0.229979572,0.31656588,0.464549573,0.226401264,1.23769971,1.018694933,0.602289627,0.746778927,7.209583997,7.140700148,7.069183273,7.029919209
2025-11-06,5.68272293,5.53843205,5.21051182,5.838701841,5.409005688,5.476306891,5.680055827,6.172309833,0.279011145,0.320943712,0.699742207,0.221238285,1.140792445,1.047161401,0.716866388,0.888955621,7.197492038,7.139537928,7.090345738,7.040764057
2025-11-13,5.664263708,5.55687564,5.262595793,5.848562824,5.428290738,5.510887596,5.788525645,6.149204092,0.28739027,0.325969182,0.589473641,0.333571416,1.179448946,1.083189707,0.822933491,0.864833987,7.118333287,7.121870692,7.066457618,7.009072812
2025-11-20,5.557692308,5.578276189,5.428412798,5.833955292,5.552680003,5.587835869,5.840770112,6.180867914,0.147173476,0.319024712,0.671000435,0.346498628,1.022147701,0.92725998,0.785723767,0.833118167,7.003307692,7.078671228,6.985745131,6.950174465
